City,Latitude,Longitude,Population
San Jose,9.9333,-84.0833,288054
Cartago,9.8667,-83.9167,221733
Puerto Limon,10.0022,-83.0840,61072
Liberia,10.6338,-85.4333,45380
Alajuela,10.0278,-84.2041,42975
Puntarenas,9.9764,-84.8339,41528
San Juan,9.9609,-84.0731,24944
Heredia,9.9985,-84.1169,22700
Santa Ana,9.9320,-84.1760,11320
Buenos Aires,9.1497,-83.3334,45000
Quesada,10.3305,-84.4400,31106
Canas,10.4300,-85.1000,20306
El Roble,9.9771,-84.7443,15759
Santiago,9.8291,-84.3044,11512
Sixaola,9.5083,-82.6147,10234
La Cruz,11.0742,-85.6294,9195
Golfito,8.6500,-83.1500,6777
Ciudad Cortes,8.9600,-83.5239,3850
